,fecha,precio
0,1995-07-31,1.5390312499999999
1,1995-08-31,7.086462365591398
2,1995-09-30,10.955819444444444
3,1995-10-31,10.445442204301076
4,1995-11-30,27.534781944444447
5,1995-12-31,68.87623387096774
6,1996-01-31,22.865000000000002
7,1996-02-29,8.044093390804598
8,1996-03-31,3.460622311827957
9,1996-04-30,3.0400250000000004
10,1996-05-31,1.8098521505376344
11,1996-06-30,1.8891361111111113
12,1996-07-31,1.6492661290322579
13,1996-08-31,3.7170040322580644
14,1996-09-30,15.89411388888889
15,1996-10-31,5.523818548387097
16,1996-11-30,20.601340277777776
17,1996-12-31,14.517366228070175
18,1997-01-31,21.6234326344086
19,1997-02-28,26.916225595238096
20,1997-03-31,25.705821720430105
21,1997-04-30,25.252256111111112
22,1997-05-31,35.462962258064515
23,1997-06-30,33.35615083333333
24,1997-07-31,31.958212809139784
25,1997-08-31,38.467690215053764
26,1997-09-30,138.9860625
27,1997-10-31,137.12781997311828
28,1997-11-30,132.43517081944444
29,1997-12-31,128.86919086021504
30,1998-01-31,133.09340536036038
31,1998-02-28,148.7786617857143
32,1998-03-31,91.3943610752688
33,1998-04-30,55.43113638888889
34,1998-05-31,25.777461075268818
35,1998-06-30,18.275234444444443
36,1998-07-31,17.99891870967742
37,1998-08-31,20.6674473655914
38,1998-09-30,22.561658333333334
39,1998-10-31,23.38937376344086
40,1998-11-30,24.078219166666667
41,1998-12-31,23.53761134751773
42,1999-01-31,24.921644892473118
43,1999-02-28,24.832715654761905
44,1999-03-31,21.4947235483871
45,1999-04-30,23.3864725
46,1999-05-31,25.811141182795698
47,1999-06-30,27.843982500000003
48,1999-07-31,28.750234086021507
49,1999-08-31,31.469544623655914
50,1999-09-30,33.355602222222224
51,1999-10-31,32.22858236559139
52,1999-11-30,31.789288611111115
53,1999-12-31,31.870132500000004
54,2000-01-31,36.77877993548387
55,2000-02-29,40.2614768275862
56,2000-03-31,37.63729737634409
57,2000-04-30,44.298057444444446
58,2000-05-31,37.291121849462364
59,2000-06-30,39.99320276388889
60,2000-07-31,42.80114080645161
61,2000-08-31,49.070172247311824
62,2000-09-30,59.535251666666674
63,2000-10-31,48.420788247311826
64,2000-11-30,45.39779070833333
65,2000-12-31,55.4097891827957
66,2001-01-31,70.60665351612903
67,2001-02-28,86.041764
68,2001-03-31,70.62400477419354
69,2001-04-30,67.14124172222222
70,2001-05-31,50.005437161290324
71,2001-06-30,43.025278
72,2001-07-31,39.87171288172043
73,2001-08-31,38.96622711827957
74,2001-09-30,45.30853116666667
75,2001-10-31,46.79236440860215
76,2001-11-30,38.96203355555556
77,2001-12-31,35.054972494623655
78,2002-01-31,38.70992283870968
79,2002-02-28,56.64558720238095
80,2002-03-31,52.86998496774193
81,2002-04-30,48.445141722222225
82,2002-05-31,39.420407215053764
83,2002-06-30,35.13288577777777
84,2002-07-31,42.15307365591398
85,2002-08-31,45.40600548387096
86,2002-09-30,49.058390055555556
87,2002-10-31,60.21958511827957
88,2002-11-30,53.04030677777777
89,2002-12-31,64.10013347311828
90,2003-01-31,69.1190018064516
91,2003-02-28,71.9613829404762
92,2003-03-31,76.83774978494623
93,2003-04-30,80.11864622222221
94,2003-05-31,69.47551355913978
95,2003-06-30,64.70255361111111
96,2003-07-31,69.925157172043
97,2003-08-31,65.20440784946237
98,2003-09-30,62.49289883333333
99,2003-10-31,55.49408678494624
100,2003-11-30,63.667327722222225
101,2003-12-31,52.346394150537634
102,2004-01-31,58.876875677419356
103,2004-02-29,70.4008157586207
104,2004-03-31,73.14546574193548
105,2004-04-30,70.65451300000001
106,2004-05-31,72.12580626881721
107,2004-06-30,51.34673188888889
108,2004-07-31,52.8359307204301
109,2004-08-31,53.984546225806454
110,2004-09-30,60.11169638888889
111,2004-10-31,71.77283973118278
112,2004-11-30,67.38508438888888
113,2004-12-31,67.57161937634409
114,2005-01-31,82.78205547311829
115,2005-02-28,73.86437828571428
116,2005-03-31,69.21760983870968
117,2005-04-30,68.32830544444444
118,2005-05-31,69.39889759139785
119,2005-06-30,59.05737277777778
120,2005-07-31,77.80062675268817
121,2005-08-31,85.8283337311828
122,2005-09-30,87.75673088888888
123,2005-10-31,81.21681419354839
124,2005-11-30,56.201273944444445
125,2005-12-31,79.969531172043
126,2006-01-31,79.02648719354839
127,2006-02-28,75.52091904761905
128,2006-03-31,65.78744762365592
129,2006-04-30,54.01196816666666
130,2006-05-31,53.73773859139785
131,2006-06-30,52.985621055555555
132,2006-07-31,59.31640294623656
133,2006-08-31,66.53275446236559
134,2006-09-30,103.44861244444445
135,2006-10-31,130.51170156989247
136,2006-11-30,80.43596811111111
137,2006-12-31,64.23784768817204
138,2007-01-31,87.47609577777779
139,2007-02-28,106.98867625
140,2007-03-31,100.79190553763442
141,2007-04-30,91.82196516666667
142,2007-05-31,74.92841674193548
143,2007-06-30,75.86059083333333
144,2007-07-31,80.26138731182796
145,2007-08-31,85.2133392688172
146,2007-09-30,74.03187861111111
147,2007-10-31,80.52224479569892
148,2007-11-30,62.609410555555556
149,2007-12-31,85.0558718064516
150,2008-01-31,95.31448808602151
151,2008-02-29,100.63301501149425
152,2008-03-31,89.54313483870968
153,2008-04-30,102.94095199722223
154,2008-05-31,96.52427075268818
155,2008-06-30,76.02115527777778
156,2008-07-31,62.642247021505376
157,2008-08-31,73.09718620430107
158,2008-09-30,80.7259062611111
159,2008-10-31,82.866759
160,2008-11-30,87.22603255555555
161,2008-12-31,107.64402849462365
162,2009-01-31,133.18047024731183
163,2009-02-28,122.25375114285714
