,fechas,precio_promedio_real,precio_pronostico_promedio
2117,2001-05-06,46.35970866666667,47.65330700000007
5552,2010-10-01,126.30012366666666,133.7789988166665
6485,2013-04-21,233.334364,261.5287960899996
8759,2019-07-15,129.37430533333333,126.98800272666668
9094,2020-06-15,281.07958333333335,290.1374249999997
