,Precio Bolsa Nacional ($/kWh) 2002,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Fecha,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0
2,2002-01-01,33.441443,32.441443,32.441443,31.441443,31.441443,31.441443,31.141443,31.141443,31.141443,31.141443,31.141443,31.141443,31.441443,31.141443,31.141443,31.141443,31.141443,31.141443,33.441443,33.441443,33.441443,32.441443,32.441443,31.441443
3,2002-01-02,28.842443,28.842443,28.842443,28.842443,28.842443,28.842443,28.842443,28.842443,28.842443,28.851443,28.851443,28.974443,28.974443,28.974443,28.974443,28.851443,28.851443,28.851443,33.441443,33.441443,33.441443,32.441443,28.974443,28.842443
4,2002-01-03,28.842443,28.842443,28.842443,28.842443,28.842443,28.842443,28.842443,28.842443,28.851443,28.974443,28.974443,28.974443,28.974443,28.974443,28.974443,28.974443,28.974443,28.974443,33.441443,38.441443,33.441443,32.441443,28.974443,28.842443
5,2002-01-04,29.151443,29.151443,29.151443,28.851443,29.151443,29.151443,29.441443,29.441443,29.441443,29.441443,29.441443,29.441443,29.441443,29.441443,29.441443,29.441443,29.441443,29.441443,32.441443,38.441443,32.441443,31.441443,29.441443,29.441443
6,2002-01-05,30.441443,30.441443,30.441443,30.441443,30.441443,30.441443,30.441443,30.441443,30.441443,30.441443,30.441443,32.441443,32.441443,30.441443,30.441443,30.441443,30.441443,30.441443,33.441443,36.441443,33.441443,32.441443,32.441443,30.441443
7,2002-01-06,32.541443,32.541443,32.541443,32.541443,32.541443,32.541443,32.541443,32.541443,32.541443,32.541443,32.541443,32.541443,32.541443,32.541443,32.541443,32.541443,32.541443,32.541443,33.441443,33.441443,33.441443,33.441443,32.541443,32.541443
8,2002-01-07,34.441443,34.441443,33.941443,33.541443,33.941443,34.441443,33.941443,34.441443,34.441443,34.441443,34.441443,34.441443,34.441443,34.441443,34.441443,34.441443,34.441443,34.441443,35.409443,35.409443,35.409443,35.409443,34.441443,34.441443
9,2002-01-08,34.441443,34.440443,34.440443,34.440443,34.440443,34.441443,34.731443,34.731443,34.731443,34.731443,34.731443,34.731443,34.731443,34.731443,34.731443,34.731443,34.731443,35.441443,43.441443,43.441443,35.941443,35.441443,34.731443,34.731443
10,2002-01-09,34.440443,34.230443,34.230443,34.230443,34.230443,34.440443,34.441443,34.441443,34.441443,34.441443,35.441443,35.441443,35.441443,34.441443,34.441443,34.441443,34.441443,35.441443,43.441443,43.441443,36.441443,35.441443,34.441443,34.440443
11,2002-01-10,34.541443,34.541443,34.541443,34.541443,34.541443,34.541443,34.641443,34.641443,34.641443,34.641443,34.641443,34.941443,34.641443,34.641443,34.641443,34.641443,34.641443,34.941443,35.941443,36.441443,35.541443,34.941443,34.641443,34.541443
12,2002-01-11,34.591443,34.591443,34.591443,34.591443,34.591443,34.591443,34.631443,34.631443,35.441443,34.631443,35.441443,35.441443,35.441443,35.441443,35.441443,35.441443,35.441443,35.441443,35.641443,35.741443,35.641443,35.441443,35.441443,34.591443
13,2002-01-12,35.391443,35.391443,35.391443,35.391443,35.391443,35.391443,35.391443,35.441443,35.441443,35.441443,35.441443,36.241443,35.441443,35.441443,35.441443,35.441443,35.441443,35.441443,36.941443,36.941443,36.941443,36.941443,35.441443,35.391443
14,2002-01-13,36.941443,36.941443,36.441443,36.441443,36.441443,36.941443,36.941443,36.941443,36.941443,36.941443,36.941443,37.341443,36.941443,36.941443,36.941443,36.941443,36.941443,36.941443,39.441443,43.941443,39.441443,38.441443,37.341443,36.941443
15,2002-01-14,38.341443,38.341443,38.341443,38.341443,38.341443,38.341443,38.341443,38.341443,38.341443,38.341443,38.341443,38.441443,38.341443,38.341443,38.341443,38.341443,38.341443,38.341443,39.441443,41.941443,38.441443,38.441443,38.341443,38.341443
16,2002-01-15,38.440443,38.440443,38.440443,38.440443,38.440443,38.440443,38.441443,38.441443,39.441443,38.441443,39.441443,39.441443,38.441443,38.441443,38.441443,38.441443,38.441443,38.441443,43.441443,44.441443,43.441443,43.441443,38.441443,38.440443
17,2002-01-16,39.441443,39.441443,39.441443,39.441443,39.441443,40.441443,40.441443,40.441443,41.441443,40.441443,42.441443,42.441443,40.441443,41.441443,41.441443,41.441443,40.441443,40.441443,42.441443,42.441443,42.441443,42.441443,40.441443,40.441443
18,2002-01-17,37.441443,37.441443,36.441443,36.441443,37.441443,37.441443,39.441443,39.941443,41.331443,41.331443,41.441443,41.441443,41.331443,39.941443,39.441443,39.941443,39.941443,39.441443,41.441443,44.441443,41.441443,41.331443,39.441443,37.441443
19,2002-01-18,36.441443,36.441443,36.441443,36.441443,36.441443,36.441443,37.441443,37.941443,38.441443,38.441443,38.441443,39.441443,38.441443,38.441443,37.941443,38.441443,38.441443,38.441443,39.941443,40.941443,39.441443,39.441443,37.941443,36.441443
20,2002-01-19,37.441443,37.441443,37.441443,37.441443,37.441443,37.441443,38.191443,38.441443,38.441443,38.441443,38.441443,38.441443,38.441443,38.441443,38.441443,38.441443,38.441443,38.441443,38.941443,38.941443,38.941443,38.441443,38.441443,38.191443
21,2002-01-20,38.441443,38.441443,38.441443,38.441443,38.441443,38.441443,38.441443,38.441443,39.441443,39.441443,39.441443,40.941443,40.941443,38.441443,38.441443,38.441443,38.441443,38.441443,42.441443,43.441443,43.441443,42.441443,40.941443,38.441443
22,2002-01-21,37.441443,37.441443,37.441443,37.441443,37.441443,38.441443,39.441443,39.441443,40.441443,40.441443,41.441443,41.441443,41.441443,40.441443,39.441443,40.441443,39.441443,40.441443,45.541443,46.441443,45.541443,41.441443,39.441443,37.441443
23,2002-01-22,34.441443,34.441443,34.441443,34.441443,34.441443,40.441443,41.441443,42.441443,42.441443,42.441443,43.441443,43.441443,42.441443,42.441443,42.441443,42.441443,42.441443,42.441443,50.441443,53.441443,50.441443,42.441443,40.441443,34.441443
24,2002-01-23,35.941443,35.941443,35.941443,35.941443,35.941443,36.441443,42.441443,43.441443,43.441443,43.441443,43.441443,44.441443,43.441443,43.441443,43.441443,43.441443,43.441443,43.441443,55.441443,55.441443,55.441443,44.441443,42.441443,36.441443
25,2002-01-24,36.441443,36.441443,35.941443,36.441443,36.441443,46.441443,48.441443,48.441443,48.441443,49.441443,49.441443,49.441443,49.441443,49.441443,48.441443,48.441443,49.441443,48.441443,56.441443,56.441443,55.441443,49.441443,46.441443,36.441443
26,2002-01-25,43.441443,43.441443,42.441443,42.441443,43.441443,43.441443,54.441443,54.441443,54.441443,52.441443,54.441443,54.441443,52.441443,52.441443,52.441443,52.441443,52.441443,52.441443,56.441443,56.941443,56.441443,54.441443,43.441443,43.441443
27,2002-01-26,37.190443,37.190443,37.190443,37.190443,37.190443,37.190443,37.190443,37.190443,37.190443,37.190443,37.190443,39.650443,39.650443,37.190443,37.190443,37.190443,37.190443,37.190443,56.441443,56.441443,56.441443,42.441443,37.190443,37.190443
28,2002-01-27,40.450443,40.450443,40.450443,40.450443,40.450443,40.450443,40.450443,40.450443,40.450443,40.450443,40.450443,40.450443,40.450443,40.450443,40.450443,40.450443,40.450443,40.450443,56.441443,60.441443,59.941443,56.441443,42.441443,40.450443
29,2002-01-28,38.331443,38.331443,38.331443,38.331443,38.331443,42.441443,60.341443,60.341443,60.341443,60.341443,60.441443,60.441443,60.341443,60.341443,60.341443,60.341443,60.341443,60.341443,62.441443,73.441443,62.441443,60.341443,57.441443,38.331443
30,2002-01-29,37.373443,37.373443,37.373443,37.373443,37.373443,37.373443,38.441443,38.441443,39.622443,39.622443,56.441443,56.441443,38.441443,38.441443,38.441443,38.441443,38.441443,38.441443,58.441443,59.441443,58.441443,56.441443,38.441443,37.373443
31,2002-01-30,36.550443,36.550443,36.550443,36.550443,36.550443,40.441443,40.441443,40.441443,42.441443,40.441443,58.341443,58.341443,58.341443,40.441443,40.441443,40.441443,40.441443,40.441443,58.341443,61.441443,60.441443,58.341443,40.441443,36.550443
32,2002-01-31,37.441443,36.441443,36.441443,36.441443,37.441443,40.291443,42.441443,42.441443,42.441443,42.441443,42.441443,42.441443,42.441443,42.441443,42.441443,42.441443,42.441443,40.291443,61.441443,61.941443,61.441443,60.441443,40.291443,40.291443
33,2002-02-01,42.50505,42.50505,40.55505,40.55505,42.50505,42.50505,44.55505,44.55505,55.55505,44.55505,44.55505,55.55505,55.55505,44.55505,44.55505,44.55505,44.55505,44.55505,63.55505,64.55505,63.55505,62.55505,44.55505,42.50505
34,2002-02-02,44.55505,44.55505,44.55505,44.55505,44.55505,44.55505,48.41405,48.41405,48.41405,50.55505,48.41405,50.55505,50.55505,48.41405,48.41405,48.41405,48.41405,48.41405,62.55505,64.55505,63.55505,62.55505,48.41405,48.41405
35,2002-02-03,52.15205,52.15205,52.15205,52.15205,52.15205,52.15205,52.15205,52.15205,52.15205,52.15205,52.15205,52.15205,52.15205,52.15205,52.15205,52.15205,52.15205,52.15205,63.55505,70.55505,64.55505,62.55505,52.15205,52.15205
