,Precio Bolsa Nacional ($/kWh) 2003,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
20,2003-01-19,73.087651,73.087651,73.087651,71.787651,71.787651,73.087651,73.087651,73.087651,73.087651,73.087651,73.087651,73.087651,73.087651,73.087651,73.087651,73.087651,73.087651,73.087651,74.787651,74.788651,74.788651,74.787651,73.087651,73.087651
21,2003-01-20,71.587651,71.287651,71.287651,71.287651,71.587651,71.887651,73.687651,73.687651,73.687651,73.687651,73.687651,73.787651,73.687651,73.687651,73.687651,73.687651,73.687651,73.687651,74.788651,74.788651,74.788651,73.787651,73.687651,71.587651
22,2003-01-21,71.687651,71.687651,71.687651,71.687651,72.787651,73.737651,73.737651,73.737651,73.787651,75.288651,75.288651,75.288651,75.288651,73.787651,73.787651,73.787651,73.787651,73.787651,75.787651,75.787651,75.787651,75.288651,73.737651,73.737651
23,2003-01-22,73.687651,72.787651,72.787651,72.787651,73.687651,73.737651,73.737651,73.787651,73.787651,74.787651,74.787651,74.787651,74.787651,73.787651,73.787651,73.787651,73.787651,73.787651,75.288651,75.288651,75.288651,75.287651,73.737651,73.737651
24,2003-01-23,72.787651,72.787651,72.787651,72.787651,72.787651,73.287651,73.687651,73.737651,73.737651,73.737651,73.737651,73.737651,73.737651,73.737651,73.737651,73.737651,73.737651,73.737651,74.287651,74.787651,74.287651,73.737651,73.687651,72.887651
25,2003-01-24,72.787651,72.787651,72.777651,72.777651,72.787651,73.087651,73.087651,73.087651,73.087651,73.087651,73.187651,74.287651,73.087651,73.087651,73.087651,73.087651,73.087651,73.087651,74.788651,74.788651,74.788651,74.287651,73.087651,73.087651
26,2003-01-25,72.587651,71.887651,71.887651,71.887651,71.887651,72.587651,72.777651,72.787651,72.887651,74.287651,74.287651,74.787651,74.287651,72.887651,72.787651,72.787651,72.787651,72.787651,74.788651,74.788651,74.788651,74.788651,74.287651,72.787651
27,2003-01-26,72.782651,72.782651,72.587651,71.787651,72.587651,72.777651,72.777651,72.782651,72.782651,72.787651,72.787651,72.787651,72.787651,72.787651,72.782651,72.782651,72.782651,72.782651,73.087651,73.087651,73.087651,73.087651,72.787651,72.782651
28,2003-01-27,72.786651,72.786651,72.786651,72.786651,72.786651,72.887651,72.887651,72.887651,72.887651,72.887651,73.287651,74.287651,72.887651,72.887651,72.887651,72.887651,72.887651,72.887651,74.788651,74.788651,74.788651,74.287651,72.887651,72.787651
29,2003-01-28,72.787651,72.787651,72.787651,72.787651,72.787651,73.267651,73.267651,73.267651,74.287651,74.787651,74.787651,75.887651,74.787651,74.787651,74.787651,74.787651,74.287651,74.787651,77.787651,77.788651,77.787651,76.787651,73.267651,73.267651
30,2003-01-29,72.787651,72.787651,72.787651,72.787651,72.787651,73.087651,73.087651,73.087651,73.087651,73.087651,74.287651,74.787651,74.287651,73.087651,73.087651,73.087651,73.087651,73.087651,76.787651,76.887651,76.787651,74.787651,73.087651,72.987651
31,2003-01-30,72.977651,72.977651,72.977651,72.977651,72.977651,73.687651,74.287651,74.287651,74.787651,74.787651,75.887651,76.887651,74.787651,74.787651,74.787651,74.787651,74.787651,74.787651,77.787651,77.788651,77.787651,77.787651,74.287651,72.977651
32,2003-01-31,74.287651,74.287651,74.287651,74.287651,74.337651,74.337651,74.787651,74.787651,74.787651,77.787651,77.787651,77.787651,77.787651,74.787651,74.787651,74.787651,74.787651,77.787651,77.788651,77.788651,77.788651,77.787651,74.337651,74.337651
33,2003-02-01,74.255438,73.855438,73.855438,73.855438,73.855438,74.755438,74.755438,77.255438,78.755438,78.755438,78.755438,78.755438,78.755438,78.755438,77.255438,77.255438,77.255438,77.255438,78.755438,80.255438,80.255438,78.755438,77.255438,74.755438
34,2003-02-02,76.255438,75.255438,75.255438,75.255438,75.255438,75.255438,75.255438,76.255438,76.255438,76.255438,76.255438,76.255438,76.255438,76.255438,76.255438,76.255438,76.255438,76.255438,80.255438,80.695438,80.695438,80.255438,76.255438,76.255438
35,2003-02-03,74.255438,74.255438,74.255438,74.255438,74.255438,76.255438,76.305438,76.305438,76.305438,76.305438,76.305438,76.305438,76.305438,76.305438,76.305438,76.305438,76.305438,76.305438,76.305438,80.255438,77.255438,76.305438,76.305438,76.255438
36,2003-02-04,76.155438,76.155438,76.155438,76.155438,76.155438,76.255438,76.255438,76.255438,76.755438,76.755438,76.755438,77.255438,76.755438,76.255438,76.755438,76.755438,76.755438,76.755438,80.255438,81.255438,80.455438,78.555438,76.255438,76.155438
